,ROUND,TEAM,OPP,#,NAME,MIN,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,AST,STL,BLK,TO,PF,PTS
2,Regular 2,Thang-Long-Warriors,Saigon-Heat,83,"Nguyen, Duong",29,4,14,0,4,0,2,3,2,5,1,0,4,1,8
3,Regular 2,Thang-Long-Warriors,Saigon-Heat,1,"Nguyen-Xuan, Quoc",24,2,7,0,0,0,0,2,1,1,1,0,4,3,4
4,Regular 2,Thang-Long-Warriors,Saigon-Heat,6,"Truong-Hoang, Trung",24,1,1,0,0,0,0,0,5,1,1,0,4,2,2
5,Regular 2,Thang-Long-Warriors,Saigon-Heat,21,"Hoang-The, Hien",23,2,6,0,0,0,0,1,4,2,0,0,3,4,4
6,Regular 2,Thang-Long-Warriors,Saigon-Heat,8,"Doan-Nhat, Quang",17,2,8,0,2,0,0,0,0,0,2,0,3,2,4
7,Regular 2,Thang-Long-Warriors,Saigon-Heat,9,"B?ch-Cong, Trung",11,0,5,0,3,0,0,0,1,0,1,0,2,0,0
8,Regular 2,Thang-Long-Warriors,Saigon-Heat,0,"Hong-Gia, Lan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Regular 2,Thang-Long-Warriors,Saigon-Heat,18,"Pham-Thanh, Nam",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Regular 2,Thang-Long-Warriors,Saigon-Heat,24,"Mai-Viet, Anh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Regular 2,Danang-Dragons,Saigon-Heat,44,"January, Anthony",40,9,27,3,7,1,4,5,12,1,3,1,2,2,22
1,Regular 2,Danang-Dragons,Saigon-Heat,0,"Nguyen, Horace",39,5,16,1,5,0,0,0,1,2,0,0,2,0,11
2,Regular 2,Danang-Dragons,Saigon-Heat,99,"Nguyen-Van, Hung",33,2,9,0,0,3,6,1,3,1,2,0,2,2,7
3,Regular 2,Danang-Dragons,Saigon-Heat,10,"Nguyen Van, Hung",32,3,7,0,0,1,4,3,2,0,3,0,5,3,7
4,Regular 2,Danang-Dragons,Saigon-Heat,4,"Huynh-Thanh, Tam",23,1,2,1,2,0,0,4,1,2,2,0,5,4,3
5,Regular 2,Danang-Dragons,Saigon-Heat,69,"Bui-Quoc, Tan",10,0,3,0,1,0,0,0,1,0,0,0,2,1,0
6,Regular 2,Danang-Dragons,Saigon-Heat,7,"Ly, Austin",9,0,2,0,1,0,0,0,2,1,2,0,0,2,0
7,Regular 2,Danang-Dragons,Saigon-Heat,77,"Son-Minh, Tam",5,0,0,0,0,0,0,0,0,0,0,0,2,1,0
8,Regular 2,Danang-Dragons,Saigon-Heat,19,"Tran Dang, Hien",3,1,2,0,0,0,0,0,0,0,0,0,0,1,2
9,Regular 2,Danang-Dragons,Saigon-Heat,68,"Huy-Dai, Dam",3,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0,Regular 2,Saigon-Heat,Danang-Dragons,3,"Tavarion, Nix",36,11,20,1,3,1,2,4,17,3,0,1,1,2,24
1,Regular 2,Saigon-Heat,Danang-Dragons,8,"Tran-Dang, Khoa",26,6,18,1,10,3,4,1,3,5,4,0,5,1,16
2,Regular 2,Saigon-Heat,Danang-Dragons,2,"Nguyen, Richard",21,3,4,1,2,0,0,1,4,2,1,0,1,1,7
3,Regular 2,Saigon-Heat,Danang-Dragons,7,"Du-Minh, An",21,1,3,0,1,1,1,0,1,5,2,0,3,1,3
4,Regular 2,Saigon-Heat,Danang-Dragons,52,"Huynh-Vinh, Quang",17,1,5,1,5,1,2,1,0,1,2,0,2,1,4
5,Regular 2,Saigon-Heat,Danang-Dragons,12,"Nguyen Huynh, Vinh",16,3,8,0,1,0,0,2,1,0,0,1,1,1,6
