,ROUND,TEAM,OPP,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,AST,STL,BLK,TO,PF,PTS
0,Semi-Finals 2,Hochiminh-City-Wings,Saigon-Heat,24,63,4,27,19,24,10,18,13,12,3,17,17,71
0,Semi-Finals 2,Saigon-Heat,Hochiminh-City-Wings,29,59,7,18,9,17,10,23,10,12,4,25,22,74
0,Semi-Finals 2,Can-Tho-Catfish,Thang-Long-Warriors,31,82,11,35,14,23,18,26,12,10,6,14,17,87
0,Semi-Finals 2,Thang-Long-Warriors,Can-Tho-Catfish,35,73,5,15,7,18,13,31,13,10,4,22,18,82
0,Semi-Finals 3,Can-Tho-Catfish,Thang-Long-Warriors,29,73,15,37,8,15,15,29,16,11,2,21,14,81
0,Semi-Finals 3,Thang-Long-Warriors,Can-Tho-Catfish,31,68,10,23,7,14,5,30,17,11,2,18,13,79
0,Finals 1,Can-Tho-Catfish,Saigon-Heat,29,60,10,27,10,13,4,38,17,7,6,20,16,78
0,Finals 1,Saigon-Heat,Can-Tho-Catfish,29,87,9,29,8,11,17,27,12,12,4,13,19,75
0,Finals 2,Can-Tho-Catfish,Saigon-Heat,26,65,12,32,10,21,7,25,16,16,0,20,21,74
0,Finals 2,Saigon-Heat,Can-Tho-Catfish,31,73,8,22,14,22,18,33,18,10,0,24,18,84
0,Finals 3,Can-Tho-Catfish,Saigon-Heat,27,56,5,16,15,21,5,39,10,12,5,36,19,74
0,Finals 3,Saigon-Heat,Can-Tho-Catfish,24,81,8,36,12,16,12,22,16,22,4,18,19,68
0,Finals 5,Can-Tho-Catfish,Saigon-Heat,24,71,9,31,11,16,10,32,17,11,2,16,18,68
0,Finals 5,Saigon-Heat,Can-Tho-Catfish,31,75,5,27,2,11,13,29,15,8,4,17,22,69
